Name,Kategorie,Tag,Beschreibung,Latitude,Longitude
Dünen von Maspalomas,Etappe 1 · Süden,Tag 1–2,"Echte Wüste am Meer. Am schönsten früh morgens oder kurz vor Sonnenuntergang – lange Schatten, kaum Leute.",27.739200,-15.584700
Faro de Maspalomas,Etappe 1 · Süden,Tag 1–2,Alter Leuchtturm am Südzipfel. Schöner Spot für den ersten Sonnenuntergang.,27.731400,-15.599700
Playa del Inglés,Etappe 1 · Süden,Tag 1–2,Großer Strand zum entspannten Ankommen.,27.751600,-15.571600
Puerto de Mogán,Etappe 1 · Süden,Tag 1–2,Hübscher Hafenort. Startpunkt für Bootstouren – mit Glück Delfine.,27.815600,-15.765600
Puerto Rico,Etappe 1 · Süden,Tag 1–2,"Ferienort mit Hafen, ebenfalls Ausgangspunkt für Bootstouren.",27.789400,-15.710600
Mirador de la Degollada de las Yeguas,Etappe 2 · Fataga-Tal,Tag 3,"Aussichtspunkt über die Schlucht, der „Grand Canyon von Gran Canaria“. Erster großer Blick auf der Auffahrt.",27.819300,-15.579300
Arteara (Palmenhain & Necrópolis),Etappe 2 · Fataga-Tal,Tag 3,"Ausgedehnter Palmenhain im Barranco de Fataga, dazu eine alte Ureinwohner-Nekropole.",27.834700,-15.585600
Fataga,Etappe 2 · Fataga-Tal,Tag 3,Hübsches weißes Bergdorf im „Tal der tausend Palmen“. Gute erste Mittagspause.,27.850600,-15.583600
Roque Nublo,Etappe 3 · Bergland,Tag 4,67 m hoher Felsmonolith auf ~1.800 m – Wahrzeichen der Insel. Bei klarer Sicht im Westen der Teide.,27.968600,-15.615300
Zubringer/Parkplatz La Goleta (GC-600),Etappe 3 · Bergland,Tag 4,Klassischer Startpunkt der Roque-Nublo-Wanderung (30–45 Min). ACHTUNG Stand 2025/26: Parkplatz für Privat-Pkw gesperrt – Zugang nur mit Online-Reservierung (grancanariasenderos.com) und Zubringerbus ab Cruz de los Llanos / Tejeda.,27.974200,-15.611000
